MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DD,XOM,GE,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,DIS
0.48,3.68,2.76,-5.93,6.3,6.32,0.93,3.54,-5.57,0.15,-1.9,4.77,0.91,-1.68,13.1,3.11,3.69,-0.68,-0.02,1.86,0.83,0.17,-2.72,0.66,2.66,-0.66,-2.06,-1.92,-2.21,2.06
-1.64,-7.24,2.87,-5.31,-7.29,-1,1.53,-7.25,-1.74,-1.73,-4.3,3.24,-0.14,5.74,9.68,-4.33,0.09,-6.13,-1.92,3.5,-0.54,-3.3,-1.62,-4.79,-0.86,-8.92,3.05,0.13,-1.98,0.16
2.21,1.76,7.22,5.25,8.26,0.16,-0.95,6.18,2.8,0.53,3.3,3.61,15.65,0.33,3.04,3.64,3.09,-0.89,5.94,5.26,1.84,2.4,7.49,5.75,6.95,2.69,-1.19,0.72,2.61,4.66
-1.61,-2.24,-1.71,0.46,-9.21,-7.83,0.72,2.25,8.55,-5.44,-1.39,2.49,-1.88,-1.28,-0.29,2.76,1.33,1.16,-1.38,2.05,13.57,0.61,0.76,-0.81,-0.5,-2.2,0.34,0.4,1.28,-0.95
8.53,2.75,7.2,-1.94,2.4,0.53,-2.78,-1.83,-3.64,2.83,0.74,3.5,6.3,-13.4,-2.33,1.12,0.4,-1.14,-2.26,1.27,4.22,1.29,4.22,7.3,10.16,1.33,0.52,13.16,-0.26,2.64
4.11,2.75,10.12,7.57,-0.8,-9.24,12.95,7.04,3.26,-6.38,2.63,-0.83,1.93,-1.36,9.53,0.44,-0.53,3.29,4.25,1.83,6.82,4.01,3.62,3.62,3.81,2.88,0.68,6.94,14.78,1.24
2.64,0.67,-7.19,-3.26,-9.02,3.04,0.65,-5.82,3.55,2.11,-4.61,2.88,5.6,-1.07,-2.58,-3.4,4.02,-3.21,-5.98,-2.84,-3.16,0,0.73,1.34,2.49,4.47,-7.53,1.55,-1.9,1.82
-1.23,-13.27,6.14,11.84,-12.63,-8.6,-5.25,-2.49,-3.69,-5.44,-5.46,-11.05,-0.52,-4.44,-8.96,-4.24,-13.1,-1.34,6.15,-13.02,-4.08,0.32,-7.47,-2.86,5.1,-0.19,-2.29,-2.78,-1.05,-3.43
3.91,1.12,9.64,3.77,3.66,4.05,11.95,5.17,9.31,1.28,8.79,10.08,9.89,5.63,0.64,2.37,12.69,6.99,-2.89,8.54,5.29,9.82,1,4.49,6.95,6.21,8.18,6.43,-1.24,14.42
-2.19,-4.25,-3.14,-0.51,-3.46,-1.59,-6.74,-6.35,-8.19,-4,-4.54,-0.96,-0.99,-0.89,-5.95,-1.86,-1.14,-1.48,-1.81,-7.27,3.29,1.37,-3.75,0.64,4.1,-3.86,-1.66,-3.57,-2,0.78
-5.19,-0.86,0.58,-4.49,8.56,5.79,4.76,0.02,2.43,2.79,9.15,4.5,-5.84,6.72,4.09,-1.39,4.42,-0.91,3.62,19.63,-1.48,-2.47,-2.97,-6.49,-5.82,-2.94,3.72,0.98,-5.11,3.65
1.72,2.93,4.1,-1.97,-1.8,-7.26,1.66,0.99,-2.99,-2.48,0.7,4.97,4.15,-0.96,5.87,0.95,3.98,-0.64,2.23,-3.66,2.87,2.42,-1.41,0.01,7.91,3.01,-1.98,3.98,-4.84,1.52
-3,-2.51,-3.73,-1.28,-0.59,-6.34,-6.31,-4.22,-9.95,-2.35,-2.57,1.26,-0.26,-4.12,-11.75,-2.68,3.01,-0.9,-6.5,-5.78,6.24,-3.51,-0.19,-4.41,1.49,-5.33,-5.72,-2.23,-4.5,3.42
-1.92,-2.14,-3.28,3.93,-7.3,-8.28,3.5,4.72,-8.21,-4.8,-1.77,-1.78,5.31,-0.41,-4.8,2.82,1.14,5.04,3.57,5.78,6.67,7.55,-1.97,9.79,-0.49,-9.57,0.39,12.2,1.48,5.13
-6.08,0.87,-7.04,-9.36,-2.79,-8.47,-8.94,-4.28,-7.64,-5.01,-4.9,-8.03,-0.49,-8.7,-1.42,-6.22,-6.46,-4.85,-8.67,-6.81,-3,-10.65,-7.86,-6.19,-4.7,-8.67,-1.67,-5.36,-10.07,-15.1
-0.26,-3.38,-2.18,0.21,-14.5,-2.61,1.43,2.03,-6.41,-1.18,1.61,-7.87,-0.83,-1.97,5.61,-0.67,-4.88,3.69,-8.28,1.7,10.02,-2.51,1.8,-0.02,0.27,-2.86,-5.43,-2.3,0.17,0.31
10.89,-1.17,8.34,13.07,11.67,15.21,9.9,5.56,31.54,11.28,14.67,7.91,7.06,-3.37,12.34,8.23,5.38,13.92,10.67,18.93,6.57,7.67,6.17,13.42,1.53,10.59,7.75,11.37,-11.72,11.29
-0.4,-2.21,-1,-1.77,-0.47,0.48,-5.55,0.64,6.21,-1.31,3.53,1.34,8.28,-0.47,2.69,0.21,3.78,1.7,-3.02,3.25,0.95,-3.1,-2.02,1.49,-4.3,-2.4,-3.05,1.84,2.8,-0.24
-3.79,-2.92,-11.02,-0.59,-6.46,-1.49,-0.33,0.8,-1.1,-4.54,4.04,-5.15,-1.22,-1.29,-0.92,1.46,-0.97,3.49,-0.36,2.08,-5.5,-1.5,6.11,-1.49,4.37,0.02,1.69,-1.85,4.18,-7.39
0.24,-23.08,-7.52,-16.92,-8.42,-3.88,-12.41,-0.09,-20.78,-0.13,-6.58,-10.36,-4.91,-9.32,-9.96,1.67,-9.89,4.77,-4.07,-0.7,-0.78,-5.55,2.87,-5.16,-2.11,-8.72,8.11,-3.95,8.25,-8.81
3.89,3.89,-0.67,-1.62,8.77,-3.5,10.05,0.49,15.37,2.95,0.14,-7.45,-1.3,5,-4.61,0.74,-5.38,-5.32,-0.91,-7.64,-0.68,-2.69,-1.71,0.45,3.42,10.18,1.52,-2.82,-0.03,-0.31
6.22,10.47,12.72,7.41,13.06,14.33,8.75,7.56,4.02,4.29,9.09,4.98,7.5,15.58,9.33,2.84,5.19,7.24,5.38,8.55,-0.19,-0.1,2.52,8.55,8.23,3.6,6.6,5.65,3.24,3.97
0.45,6.56,-13.99,6.19,1.54,7.11,-3.44,-3.43,4.09,5.75,-3.27,4.54,0.34,-3.64,-6.4,3.59,6.72,0.64,3.65,-9.7,-4.12,10.36,-2.66,-5.83,2.16,4.27,-5.81,0.99,-2.37,3.98
0.56,0.5,6.53,-6.42,-6.7,-1.15,5.67,-0.45,-0.76,0.7,-1.69,-2.82,-1.32,5.34,4.33,0.54,3.28,-3.5,2.59,6.28,-6.31,6.08,1.15,3.86,1.51,-3.63,-0.08,2.2,5.85,-3.91
4.04,-7.6,-4.27,2.95,4.55,3.79,-1.24,1.64,-0.93,5.3,4.13,-6.83,-3.35,-1.27,3.83,7.64,-4.8,-1.41,2.4,-3.45,-0.04,1.47,4.48,4.29,5.63,1.96,9.71,-6.04,3.16,-1.41
1.85,6.09,9.01,2.92,9.17,-2.24,6.41,-3.75,6.74,-5.11,-1.08,6.89,8.26,5.82,6.28,3.24,2.94,-2.24,1.82,10.77,0.54,4.77,1.09,-2.37,1.42,4.97,-0.77,5.23,-0.07,-1.91
0.49,1.74,1.81,-3.15,-0.98,-1.85,2.98,-0.46,0.62,-2.03,0.32,6.71,-2.98,-1.08,2.95,-4.7,5.52,-1.69,7.04,1.38,3.86,-5.67,2.01,2.14,-4.99,-1.13,-5.56,3.65,-2.1,-1.55
-1.68,-2.35,6.55,1.77,8.32,2.33,0.89,-2.56,-3.78,0.16,-5.19,-4.83,-4.06,-0.02,5.18,-1.01,-1.35,-0.26,-0.61,0.24,-8.66,-2.67,2.79,-3.5,2.9,-4.54,-0.67,2.22,0.95,-1.69
-6.2,3.72,0.43,8.11,-5.98,1.78,-3.28,0.19,2.72,-4.54,-1.76,10.52,-5.18,-3.25,-7.63,-1.81,4.01,-2.42,-5.91,4.03,-4.69,-6.38,-3.29,-5.56,0.95,0.59,-7.46,-0.23,-2.91,-0.18
3.9,8.46,-2.66,5.71,14.5,6.5,-2.8,-4.83,7.01,4.78,5.7,23.03,6.06,5.55,-0.49,-4.04,15.75,5.95,4.21,0.57,-0.22,1.36,-5,4.78,12.02,5.4,3.74,-6.29,0.59,6.94
3.98,2.83,4.8,3.4,-2.95,5.5,1.34,2.75,-0.29,3.39,2.73,9.19,3.62,2.32,4.52,3.51,7.63,2.05,-3.79,3.12,1.52,1.06,1.96,8,1.09,1.76,6.97,0.91,-1.86,5.15
